bin/genomesuperkingdomphylumclassorderfamilygenusspecies
unfiltered/maxbinned_coassembly.fa.018Bacteria[:w48.06%;c63.64%]Chloroflexi[:w47.16%;c61.04%]Anaerolineae[:w2.00%;c3.90%]Anaerolineales[:w0.80%;c2.60%]Anaerolineaceae[:w0.80%;c2.60%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.019Bacteria[:w13.20%;c27.83%]Proteobacteria[:w11.75%;c19.13%]Deltaproteobacteria[:w5.18%;c8.70%]Desulfobacterales[:w2.86%;c4.35%]Desulfobulbaceae[:w0.59%;c1.74%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.020Bacteria[:w24.27%;c39.42%]Proteobacteria[:w23.87%;c38.46%]Deltaproteobacteria[:w20.02%;c33.65%]Desulfobacterales[:w14.75%;c21.15%]Desulfobulbaceae[:w9.70%;c10.58%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.021Archaea[:w74.50%;c71.25%]Euryarchaeota[:w74.50%;c71.25%]Methanomicrobia[:w73.65%;c70.27%]Methanosarcinales[:w72.11%;c69.53%]Methanosarcinaceae[:w71.23%;c66.83%]Methanosarcina[:w63.20%;c61.18%]Methanosarcina barkeri[:w0.68%;c0.49%]
unfiltered/maxbinned_coassembly.fa.022Bacteria[:w17.83%;c32.31%]Proteobacteria[:w11.38%;c15.38%]Deltaproteobacteria[:w4.96%;c4.62%]Desulfobacterales[:w1.90%;c1.54%]Desulfobulbaceae[:w1.90%;c1.54%]Desulfobulbus[:w1.90%;c1.54%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.023Bacteria[:w5.84%;c13.80%]Firmicutes[:w2.96%;c3.10%]Clostridia[:w2.78%;c1.97%]Clostridiales[:w1.23%;c0.85%]Proteinivoraceae[:w0.74%;c0.28%]Anaerobranca[:w0.74%;c0.28%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.024Bacteria[:w22.96%;c54.55%]Unofficial_None[:w20.76%;c18.18%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.025Bacteria[:w32.06%;c40.63%]Proteobacteria[:w18.41%;c27.57%]Deltaproteobacteria[:w10.96%;c16.71%]Myxococcales[:w3.59%;c5.40%]Polyangiaceae[:w0.65%;c0.96%]Sorangium[:w0.37%;c0.56%]Sorangium cellulosum[:w0.37%;c0.56%]
unfiltered/maxbinned_coassembly.fa.026Bacteria[:w30.67%;c52.53%]Proteobacteria[:w30.58%;c52.07%]Deltaproteobacteria[:w24.27%;c44.70%]Desulfobacterales[:w11.82%;c26.04%]Desulfobulbaceae[:w4.47%;c12.44%]Desulfobulbus[:w0.17%;c0.46%]None[:w0.00%;c0.00%]
unfiltered/maxbinned_coassembly.fa.027Archaea[:w84.17%;c84.27%]Euryarchaeota[:w84.17%;c84.27%]Methanomicrobia[:w83.21%;c82.97%]Methanosarcinales[:w81.42%;c81.45%]Methanosarcinaceae[:w80.50%;c79.93%]Methanosarcina[:w77.44%;c77.66%]Methanosarcina mazei[:w0.29%;c0.65%]
